"","NumInterp","verbInterp","nounInterp","coltN","OLD","nPhon","nSyll","Length","LgSUBTLWF","Ortho_N","BG_Sum","NumMeanings","NumSenses","eDom_Biggest","algorithm.FAN_Biggest","human.FAN_Biggest","algorithm.SUBTL_Biggest","Wikipedia_Biggest"
"179",6,1,5,5,1.55,5,2,5,2.502,3,13652,3,6,52,56,70,52,40
"180",9,5,5,25,1,3,1,4,2.688,17,4421,2,10,94,96,96,82,95
"181",7,2,4,25,1,4,1,4,2.444,12,11285,2,7,70,66,76,73,87
"182",3,0,4,11,1.2,3,1,4,3.24,9,2425,2,4,79,92,100,54,57
"183",3,4,2,32,1,2,1,3,2.072,15,1650,2,6,95,91,100,89,97
"184",2,0,4,11,1.35,4,1,4,2.555,7,4807,2,4,97,90,100,81,68
"185",5,5,0,1,3.15,8,3,8,2,1,9386,2,6,82,90,100,95,99
"186",5,4,3,33,1,3,1,3,2.049,14,2211,2,7,92,72,94,56,66
"187",6,3,2,31,1,3,1,3,2.81,15,2300,2,5,95,94,98,92,89
"188",12,3,5,25,1,3,1,3,2.9,14,3629,2,11,73,76,75,83,58
"189",4,0,1,3,1.7,4,2,5,2.711,2,4975,2,2,76,100,93,81,99
"190",3,0,2,18,1,3,1,3,2.551,10,2127,2,2,95,98,100,89,98
"191",3,0,4,0,1.95,5,3,5,2.942,0,11686,2,4,99,100,100,90,100
"192",3,0,4,2,1.7,3,1,5,2.316,1,6561,2,4,98,98,100,95,100
"193",11,4,10,35,1,3,1,3,2.619,18,2149,2,14,79,87,100,68,80
"194",9,3,5,15,1,3,1,4,3.282,11,3093,2,8,86,80,95,68,51
"195",4,0,3,4,1.75,6,2,7,2.538,3,22487,2,3,96,87,100,65,98
"196",5,2,5,9,1.25,3,1,4,2.83,5,4267,2,7,69,64,62,79,76
"197",6,3,5,12,1.1,4,1,5,1.945,8,10510,2,8,94,100,100,57,76
"198",7,3,2,42,1,3,1,3,2.97,22,5279,2,9,90,93,93,70,57
"199",5,2,6,7,1.35,3,1,4,2.346,6,1489,2,8,60,91,98,96,98
"200",6,5,2,15,1.05,3,1,4,2.438,9,4267,2,7,91,88,100,58,62
"201",3,2,2,18,1,3,1,4,1.898,12,8695,2,4,69,63,79,68,97
"202",6,2,5,29,1,3,1,3,3.101,19,5479,2,7,78,100,100,51,79
"203",7,3,3,31,1,3,1,3,3.013,21,3017,2,8,93,96,96,93,100
"204",4,0,2,0,1.85,5,2,5,3.104,0,6223,2,4,91,62,100,88,96
"205",2,0,2,24,1,2,1,3,3.166,10,2074,2,2,99,100,100,94,100
"206",5,0,5,17,1,3,1,4,2.371,10,1809,4,5,58,48,31,78,53
"207",11,8,7,19,1,3,1,4,2.828,14,5669,3,15,79,52,96,79,79
"208",3,2,2,26,1,3,1,4,2.501,16,9991,2,4,77,98,100,61,86
"209",7,3,3,24,1,4,1,4,3.162,14,8002,2,8,98,86,92,89,100
"210",10,6,9,12,1.15,3,1,4,2.996,6,3010,2,15,88,87,100,78,92
"211",11,5,11,36,1,3,1,3,2.829,16,2998,2,16,75,73,83,89,100
"212",22,14,9,14,1.15,3,1,5,2.899,7,4754,2,23,88,100,100,85,90
"213",4,0,4,7,1.6,5,2,7,2.22,2,12665,2,4,63,54,54,65,93
"214",9,3,5,6,1.35,4,1,5,3.688,5,8554,2,10,83,100,100,86,99
"215",7,5,3,9,1.3,4,1,4,2.772,7,3151,2,8,68,91,95,81,96
"216",2,0,2,10,1.35,5,2,5,2.914,5,8364,2,2,74,91,98,68,94
"217",3,0,3,1,2.1,6,3,6,3.14,1,7589,2,3,60,90,87,88,100
"218",11,3,8,15,1.05,3,1,4,3.38,9,3299,2,11,64,83,90,89,94
"219",19,12,5,29,1,9,4,3,3.537,15,1826,3,20,51,73,74,88,56
"220",14,3,11,20,1,3,1,4,2.87,12,4832,5,16,48,70,82,38,87
"221",23,7,6,18,1,4,1,4,3.219,12,5485,3,15,43,61,78,66,57
"222",10,3,5,36,1,3,1,3,3.061,17,1980,2,8,62,89,80,93,100
"223",20,7,8,7,1.55,4,1,5,2.851,7,6368,3,15,51,45,45,59,76
"224",5,0,5,4,1.65,4,1,6,2.906,3,11221,2,5,83,98,98,84,100
"225",18,6,2,1,1.8,6,2,7,3.659,1,19240,2,13,53,53,53,67,100
"226",24,11,6,7,1.55,4,1,5,3.487,2,11946,2,17,91,95,100,86,99
"227",4,0,4,13,1,5,3,3,2.859,1,3487,2,6,72,59,61,81,92
"228",3,4,2,2,1.7,4,1,5,1.881,2,6139,2,6,68,83,97,59,65
"229",11,11,2,14,1.1,4,1,4,2.81,10,1904,2,13,82,76,88,53,97
"230",3,0,2,1,1.9,5,2,5,2.207,1,3054,2,2,70,82,82,57,81
"231",5,2,3,2,1.8,4,1,5,2.375,2,3385,2,6,75,92,91,79,89
"232",3,1,1,0,1.85,4,1,5,1.839,0,3330,2,2,83,96,100,53,93
"233",10,4,9,20,1,3,1,4,3.499,14,6206,2,13,54,59,57,73,80
"234",5,3,4,10,1.1,4,1,4,2.382,6,3502,2,7,97,98,100,90,99
"235",11,1,6,30,1,3,1,3,2.389,19,3894,3,7,64,93,95,91,94
"236",15,2,4,17,1,3,1,4,2.369,13,5461,3,6,82,93,100,45,96
"237",9,12,5,23,1,3,1,4,2.185,16,4339,3,17,84,90,100,93,96
"238",13,5,5,17,1,4,1,4,2.638,12,6879,2,14,75,86,86,93,100
"239",10,6,6,28,1,3,1,3,2.824,19,3983,3,12,80,77,94,83,73
"240",5,3,3,20,1,3,1,4,2.912,14,5646,2,6,94,96,100,87,99
"241",6,0,0,26,1,3,1,4,3.037,16,10617,2,5,67,66,76,73,98
"242",4,0,2,18,1,3,1,4,2.614,11,5857,2,4,62,89,95,95,99
"243",7,8,6,28,1,3,1,4,3.105,20,11686,2,14,84,100,100,91,100
"244",10,0,4,28,1,2,1,3,3.696,19,3533,2,4,79,80,81,94,98
"245",11,4,4,18,1,3,1,4,2.803,16,9322,2,9,70,96,100,96,100
"246",5,1,3,7,1.5,3,1,4,2.312,4,5859,2,4,87,100,100,89,76
"247",9,7,4,13,1,3,1,4,2.223,8,7146,3,11,82,95,100,53,94
"248",3,1,2,1,2.25,6,2,7,2.021,0,16291,2,3,67,90,95,88,77
"249",7,3,1,4,1.6,6,2,6,3.03,3,8897,2,5,79,48,93,92,92
"250",11,0,7,3,1.8,5,2,6,2.872,3,10724,2,7,89,80,87,78,91
"251",8,5,3,21,1,4,1,4,3.246,15,11376,2,8,90,83,100,60,93
"252",8,4,4,1,1.9,5,2,6,2.654,1,8042,2,8,96,89,100,59,81
"253",8,3,5,25,1,3,1,3,2.48,11,3268,2,8,92,74,100,58,98
"254",8,4,3,7,1.45,4,2,6,2.366,3,7654,2,7,88,98,100,84,92
"255",3,2,3,1,1.65,4,2,5,2.872,0,7266,2,5,85,93,100,70,97
"256",15,13,15,17,1,3,1,4,3.675,10,13688,2,28,54,80,80,56,98
"257",8,3,4,26,1,5,3,3,3.012,16,3400,3,7,75,95,94,83,86
"258",7,0,3,5,1.65,3,1,5,2.134,3,5544,2,3,90,77,100,94,99
"259",9,6,6,15,1,3,1,4,3.643,12,3734,2,13,54,58,56,60,72
"260",7,3,5,9,1.45,5,2,6,2.782,7,5986,2,8,99,100,100,90,99
"261",15,10,6,17,1,3,1,4,2.728,12,3974,3,16,57,89,100,51,98
"262",4,1,4,22,1,4,2,4,3.432,18,5019,2,8,62,88,100,69,70
"263",8,6,5,27,1,2,1,3,3.128,17,2829,3,11,56,81,84,85,100
"264",7,0,9,5,1.6,5,2,6,2.854,3,8236,2,10,96,63,98,55,78
"265",16,7,6,16,1,3,1,4,3.205,13,3427,2,13,91,100,100,83,99
"266",3,0,5,16,1,2,1,3,2.328,7,816,2,5,99,100,100,57,92
"267",13,3,8,19,1,3,1,4,2.82,13,3142,3,11,72,95,98,89,92
"268",5,0,4,18,1,3,1,4,1.954,14,2731,2,5,71,62,75,57,80
"269",5,4,4,39,1,3,1,3,2.253,21,1609,2,8,79,100,100,50,83
"270",2,1,2,15,1,3,1,4,1.771,10,3483,2,3,84,97,100,52,69
"271",18,6,11,8,1.4,4,1,5,2.687,6,9160,3,17,63,68,85,92,99
"272",5,5,3,5,1.55,4,1,5,2.38,3,5779,3,8,70,81,100,45,61
"273",7,2,4,4,1.6,5,1,5,2.35,3,5656,2,8,65,86,91,79,76
"274",6,5,5,3,1.8,5,1,5,2.504,1,2714,2,12,69,95,100,66,95
"275",15,5,9,18,1,3,1,4,2.877,15,6910,2,14,64,56,64,84,90
"276",6,2,2,16,1,3,1,4,1.991,7,3224,2,5,77,89,87,88,87
"277",5,1,3,8,1.4,3,1,5,2.884,8,5675,2,4,82,80,100,71,68
"278",6,7,1,14,1,3,1,4,2.749,6,7529,2,8,62,50,58,75,73
"279",10,2,6,7,1.55,3,1,5,2.773,6,5268,2,8,89,100,100,50,79
"280",4,5,2,3,1.55,5,2,6,1.898,2,11317,2,7,90,96,100,83,89
"281",16,5,6,7,1.5,3,1,5,3.167,6,4080,3,11,84,74,100,80,97
"282",5,1,3,16,1,3,1,5,3.006,13,9785,2,4,89,95,100,65,56
"283",7,4,2,14,1.1,2,1,3,2.972,9,1544,2,10,94,92,100,84,100
"284",8,1,4,31,1,3,1,3,2.911,18,8593,2,5,91,86,100,75,81
"285",9,3,4,5,1.5,3,1,4,3.372,4,2798,2,7,96,96,100,76,100
"286",3,1,2,4,1.6,4,1,5,2.48,2,8916,2,3,89,64,96,64,79
"287",10,2,2,10,1.35,4,1,5,2.545,7,6412,2,7,70,80,97,51,78
"288",6,2,4,10,1.35,4,1,5,2.072,8,13992,2,6,94,98,100,93,99
"289",24,12,9,11,1.3,4,1,4,3.121,11,3704,2,21,83,98,100,78,75
"290",5,2,5,11,1.3,4,1,4,2.405,7,1328,2,7,72,68,88,73,97
"291",3,3,1,2,1.8,5,1,5,1.724,1,4372,3,4,74,34,32,85,65
"292",3,1,3,18,1,3,1,4,2.662,13,2373,2,4,72,88,92,74,100
"293",5,3,7,10,1.25,3,1,4,2.6,6,2564,2,10,63,77,100,83,100
"294",7,1,2,17,1,3,1,4,2.43,11,5496,3,5,67,70,70,61,93
"295",4,4,1,32,1,2,1,3,1.996,17,1468,2,5,80,65,44,70,93
"296",4,1,6,8,1.45,4,1,5,2.076,4,5579,2,7,74,64,64,83,73
"297",7,4,6,10,1.1,4,1,4,2.009,10,5410,2,10,93,95,100,98,100
"298",2,2,1,7,1.4,5,1,5,2.241,6,5696,2,3,93,98,100,55,63
"299",10,5,6,9,1.4,4,1,5,3.272,4,5843,3,11,53,78,82,49,85
"300",15,5,6,7,1.4,4,1,5,2.797,7,2638,2,11,92,89,80,90,83
"301",9,6,5,8,1.45,4,1,5,2.637,6,4699,2,11,97,93,100,74,97
"302",8,6,4,12,1,4,1,4,2.995,6,3827,2,10,85,65,100,80,92
"303",9,4,6,3,1.65,4,1,5,2.693,2,5706,2,10,96,81,100,64,90
"304",4,5,5,1,1.85,5,1,6,2.35,0,3821,2,10,68,70,67,78,88
"305",7,2,2,2,1.55,5,2,6,2.829,2,11044,2,8,67,71,65,70,58
"306",8,1,7,3,1.8,4,1,5,3.213,2,6077,2,10,89,96,98,96,100
"307",9,5,7,11,1.25,4,1,5,2.928,10,6671,2,12,66,56,87,79,68
"308",8,4,5,5,1.65,4,1,5,1.94,5,8612,2,9,69,58,57,69,72
"309",14,9,9,8,1.45,4,1,5,2.661,5,10123,2,18,60,71,54,81,98
"310",7,2,6,1,1.75,5,2,6,1.763,1,10508,2,10,75,80,94,88,63
"311",6,3,3,8,1.45,4,1,5,2.1,6,9504,2,8,88,83,94,73,97
"312",5,4,2,7,1.45,4,1,5,2.486,5,14992,2,6,86,61,61,91,98
"313",10,7,9,7,1.45,4,1,4,2.061,4,8971,3,16,74,100,100,82,98
"314",7,0,1,3,1.65,4,1,5,2.516,1,14595,2,3,70,87,86,100,100
"315",11,8,3,5,1.5,4,1,4,2.48,1,9151,2,11,95,98,100,92,100
"316",2,1,2,8,1.4,4,1,5,2.589,7,7373,2,3,90,100,100,65,95
"317",21,11,9,2,1.75,5,1,6,2.559,2,16177,2,20,81,80,100,76,72
"318",7,5,5,0,1.85,6,1,6,1.978,0,13608,2,10,65,71,76,54,62
"319",19,7,2,5,1.55,5,1,5,2.904,1,8653,2,9,61,75,84,95,99
"320",6,1,5,7,1.3,5,1,6,1.875,5,10316,2,6,84,91,96,91,100
"321",7,2,8,5,1.55,4,1,4,2.55,4,4661,2,11,70,68,89,53,84
"322",7,4,5,1,1.95,5,2,6,2.979,1,4092,2,10,91,100,100,97,100
"323",11,6,4,1,1.9,5,2,7,2.813,1,7696,2,10,80,60,76,89,59
"324",9,6,7,38,1,3,1,3,2.851,18,2661,2,13,65,48,57,51,55
"325",20,8,8,38,1,3,1,3,2.877,19,2750,2,16,62,69,71,59,63
"326",3,1,3,41,1,3,1,3,2.207,16,4842,2,4,98,96,100,94,100
"327",5,0,2,22,1,3,1,4,2.09,12,5845,2,4,66,58,61,51,70
"328",9,11,5,22,1,3,1,4,3.139,16,9175,2,16,61,51,52,88,96
"329",4,0,6,1,1.8,5,2,6,2.952,0,10477,3,6,66,85,87,77,99
"330",3,4,0,12,1.1,4,1,4,2.797,9,9973,2,4,61,70,53,95,99
"331",18,3,4,13,1.3,6,2,6,2.657,7,18736,3,12,54,86,86,61,47
"332",8,2,2,6,1.45,4,1,5,2.719,4,12098,2,7,67,95,97,77,77
"333",13,4,3,17,1,4,1,4,3.632,13,12449,2,7,96,89,100,90,100
"334",8,5,4,16,1,3,1,4,2.569,10,8011,3,9,70,36,52,69,63
"335",14,11,9,28,1,3,1,3,3.149,16,5303,4,20,47,40,59,58,90
"336",5,4,1,18,1,4,2,4,2.801,11,10128,2,5,62,92,96,64,64
"337",6,5,4,3,1.7,4,1,5,3.233,3,6803,2,9,61,98,100,87,75
"338",2,0,2,4,1.7,6,2,7,2.299,3,17360,2,2,87,72,100,87,60
"339",2,2,2,9,1.25,3,1,4,1.716,7,3148,2,4,70,71,100,74,98
"340",5,3,4,18,1,3,1,4,2.236,12,4281,2,7,80,73,100,80,99
"341",2,1,5,35,1,2,1,3,2.471,17,2052,2,7,91,100,100,94,99
"342",4,2,2,13,1.2,4,2,5,3.067,10,8698,2,4,95,78,100,71,99
"343",14,7,5,7,1.35,4,1,5,2.996,6,7894,2,12,94,94,100,92,100
"344",12,5,9,9,1.25,4,1,4,3.085,5,5671,3,14,90,96,100,83,89
"345",3,6,6,4,1.6,4,1,5,3.57,4,3738,2,12,89,100,100,95,100
"346",4,0,4,6,1.5,4,2,4,2.612,2,4022,2,4,98,97,100,85,98
"347",4,0,2,25,1,3,1,3,3.422,9,3960,2,2,94,100,100,69,82
"348",6,6,5,4,1.75,4,1,5,2.789,1,2351,2,11,73,52,81,79,53
"349",5,1,4,7,1.5,3,1,5,2.378,3,11573,2,5,80,96,100,61,97
"350",6,2,2,22,1,3,1,3,2.473,13,3265,2,4,61,91,91,69,55
"351",2,1,6,17,1,3,1,4,2.978,8,4701,2,7,85,100,40,98,100
"352",4,4,4,19,1,4,1,3,2.665,9,758,2,8,80,62,100,70,63
"353",4,3,4,17,1,3,1,4,2.779,11,5839,2,7,97,92,100,94,100
"354",3,2,1,4,1.6,3,1,5,2.76,3,7857,2,3,76,85,100,82,100
"355",15,14,11,19,1,4,1,4,3.481,12,9125,2,25,69,78,100,59,84
"356",7,0,1,14,1.05,3,1,4,3.162,10,5258,2,6,86,98,100,89,98
"357",3,0,5,25,1,3,1,3,2.481,11,2645,2,5,94,96,100,66,97
"358",7,3,2,8,1.55,4,1,5,3.132,8,5631,2,5,76,94,95,87,95
"359",7,3,3,2,1.75,5,2,7,1.987,2,13727,2,6,96,52,100,51,57
"360",9,1,5,14,1.15,3,1,4,3.107,6,3707,2,6,58,66,77,96,98
